country,mean_daily_mwh,window_end
India,4458036,2024-04-28
Taiwan,652438,2025-07-31
Thailand,582331,2025-07-26
Malaysia,390552,2025-08-17
Philippines,330050,2025-08-16
Bangladesh,302529,2025-04-08
Sri Lanka,170265,2025-04-08
Singapore,153165,2025-04-21
Oman,96359,2022-09-30
Nepal,35327,2025-01-11
Bhutan,20732,2025-05-14
