"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C03907V04659","Electricity Consumption","UNIT","VALUE"
"MEC02","Gigawatt hours","2020Q1","2020Q1","10","Data centres","GWh","690"
"MEC02","Gigawatt hours","2020Q1","2020Q1","20","Customers other than data centres","GWh","6708"
"MEC02","Gigawatt hours","2020Q2","2020Q2","-","All metered electricity consumption","GWh","6429"
"MEC02","Gigawatt hours","2020Q2","2020Q2","10","Data centres","GWh","721"
"MEC02","Gigawatt hours","2020Q2","2020Q2","20","Customers other than data centres","GWh","5708"
"MEC02","Gigawatt hours","2020Q3","2020Q3","-","All metered electricity consumption","GWh","6381"
"MEC02","Gigawatt hours","2020Q3","2020Q3","10","Data centres","GWh","765"
"MEC02","Gigawatt hours","2020Q3","2020Q3","20","Customers other than data centres","GWh","5615"
"MEC02","Gigawatt hours","2020Q4","2020Q4","-","All metered electricity consumption","GWh","6847"
"MEC02","Gigawatt hours","2020Q4","2020Q4","10","Data centres","GWh","851"
"MEC02","Gigawatt hours","2020Q4","2020Q4","20","Customers other than data centres","GWh","5996"
"MEC02","Gigawatt hours","2021Q1","2021Q1","-","All metered electricity consumption","GWh","7347"
"MEC02","Gigawatt hours","2021Q1","2021Q1","10","Data centres","GWh","921"
"MEC02","Gigawatt hours","2021Q1","2021Q1","20","Customers other than data centres","GWh","6426"
"MEC02","Gigawatt hours","2021Q2","2021Q2","-","All metered electricity consumption","GWh","7222"
"MEC02","Gigawatt hours","2021Q2","2021Q2","10","Data centres","GWh","986"
"MEC02","Gigawatt hours","2021Q2","2021Q2","20","Customers other than data centres","GWh","6235"
"MEC02","Gigawatt hours","2021Q3","2021Q3","-","All metered electricity consumption","GWh","6779"
"MEC02","Gigawatt hours","2021Q3","2021Q3","10","Data centres","GWh","1035"
"MEC02","Gigawatt hours","2021Q3","2021Q3","20","Customers other than data centres","GWh","5745"
"MEC02","Gigawatt hours","2021Q4","2021Q4","-","All metered electricity consumption","GWh","7158"
